59,	0,	-1,	-7,	-3,	
60,	0,	0,	5,	-6,	
61,	0,	0,	5,	6,	
62,	-1,	0,	-7,	3,	
63,	0,	-1,	-1,	-7,	
64,	0,	0,	8,	1,	
65,	0,	0,	-3,	7,	
66,	0,	0,	-6,	-4,	
67,	0,	0,	6,	-4,	
68,	0,	0,	3,	7,	
69,	-1,	0,	-7,	1,	
70,	0,	0,	1,	-7,	
71,	0,	0,	8,	2,	
72,	0,	0,	-3,	6,	
73,	0,	0,	-5,	-5,	
74,	0,	0,	6,	-4,	
75,	0,	0,	1,	7,	
76,	0,	0,	-7,	1,	
77,	0,	0,	2,	-7,	
78,	0,	0,	7,	3,	
79,	1,	0,	-6,	6,	
80,	0,	0,	-4,	-6,	
81,	0,	0,	7,	-2,	
82,	0,	0,	1,	8,	
83,	0,	0,	-7,	-1,	
84,	0,	0,	3,	-7,	
85,	-1,	0,	6,	5,	
86,	0,	0,	-6,	5,	
87,	0,	0,	-3,	-7,	
88,	0,	0,	8,	-2,	
89,	0,	0,	-1,	7,	
90,	0,	0,	-7,	-3,	
91,	0,	0,	4,	-6,	
92,	0,	0,	5,	6,	
93,	0,	0,	-7,	3,	
94,	-1,	0,	-1,	-7,	
95,	0,	0,	8,	0,	
96,	0,	0,	-2,	7,	
97,	0,	0,	-6,	-4,	
98,	0,	0,	6,	-5,	
99,	0,	0,	4,	7,	
100,	0,	1,	-7,	2,	
101,	0,	0,	0,	-8,	
102,	0,	0,	8,	2,	
103,	0,	0,	-3,	6,	
104,	0,	-1,	-6,	-5,	
105,	0,	0,	7,	-4,	
106,	0,	1,	3,	8,	
107,	0,	0,	-7,	1,	
108,	0,	1,	2,	-7,	
109,	0,	0,	7,	3,	
110,	0,	0,	-5,	6,	
111,	0,	0,	-5,	-6,	
112,	0,	-1,	7,	-2,	
113,	0,	0,	1,	8,	
114,	0,	0,	-7,	-1,	
115,	0,	0,	3,	-7,	
116,	0,	0,	6,	4,	
117,	0,	0,	-5,	5,	
118,	0,	0,	-4,	-7,	
119,	0,	-1,	7,	-2,	
120,	0,	0,	-1,	7,	
